current_season,schedule,tour
2025,"{'course': 'TPC Deere Run', 'course_key': '669', 'event_id': 30, 'event_name': 'John Deere Classic', 'latitude': 41.478, 'location': 'Silvis, IL', 'longitude': -90.392, 'start_date': '2025-07-03', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Golfclub München Eichenried', 'course_key': 'golfclub münchen eichenried', 'event_id': 'TBD', 'event_name': 'BMW International Open', 'latitude': 48.276, 'location': 'Munich, Germany', 'longitude': 11.775, 'start_date': '2025-07-03', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Colorado', 'course_key': '090', 'event_id': 130, 'event_name': 'The Ascendant presented by Blue', 'latitude': 40.333, 'location': 'Berthoud, CO', 'longitude': -105.104, 'start_date': '2025-07-10', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Renaissance Club', 'course_key': '977', 'event_id': 541, 'event_name': 'Genesis Scottish Open', 'latitude': 56.051, 'location': 'North Berwick, Scotland', 'longitude': -2.809, 'start_date': '2025-07-10', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Hurstbourne Country Club (Championship Course)', 'course_key': '934', 'event_id': 518, 'event_name': 'ISCO Championship', 'latitude': 38.24, 'location': 'Louisville, KY', 'longitude': -85.591, 'start_date': '2025-07-10', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Real Club Valderrama', 'course_key': '16', 'event_id': '48', 'event_name': 'Andalucia', 'latitude': 36.283, 'location': 'San Roque, Cádiz, Spain', 'longitude': -5.327, 'start_date': '2025-07-11', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Tahoe Mountain Club (Old Greenwood)', 'course_key': '931', 'event_id': 472, 'event_name': 'Barracuda Championship', 'latitude': 39.345, 'location': 'Truckee, CA', 'longitude': -120.143, 'start_date': '2025-07-17', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Royal Portrush Golf Club', 'course_key': '885', 'event_id': 100, 'event_name': 'The Open Championship', 'latitude': 55.2, 'location': 'Portrush, United Kingdom', 'longitude': -6.636, 'start_date': '2025-07-17', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Highland Springs Country Club', 'course_key': '022', 'event_id': 22, 'event_name': 'Price Cutter Charity Championship presented by Hiland Dairy Foods', 'latitude': 37.113, 'location': 'Springfield, MO', 'longitude': -93.218, 'start_date': '2025-07-17', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Twin Cities', 'course_key': '883', 'event_id': 525, 'event_name': '3M Open', 'latitude': 45.177, 'location': 'Blaine, MN', 'longitude': -93.213, 'start_date': '2025-07-24', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Glen Club', 'course_key': '082', 'event_id': 131, 'event_name': 'NV5 Invitational', 'latitude': 42.09, 'location': 'Glenview, IL', 'longitude': -87.828, 'start_date': '2025-07-24', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'JCB Golf and Country Club', 'course_key': '24', 'event_id': '49', 'event_name': 'United Kingdom', 'latitude': 52.946, 'location': 'Rocester, England', 'longitude': -1.858, 'start_date': '2025-07-25', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Sedgefield Country Club', 'course_key': '752', 'event_id': 13, 'event_name': 'Wyndham Championship', 'latitude': 36.014, 'location': 'Greensboro, NC', 'longitude': -79.887, 'start_date': '2025-07-31', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Ogden Golf & Country Club', 'course_key': '099', 'event_id': 26, 'event_name': 'Utah Championship presented by Zions Bank and InterMountain Health', 'latitude': 41.186, 'location': 'Ogden, UT', 'longitude': -111.974, 'start_date': '2025-07-31', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Southwind', 'course_key': '513', 'event_id': 27, 'event_name': 'FedEx St. Jude Championship', 'latitude': 35.057, 'location': 'Memphis, TN', 'longitude': -89.779, 'start_date': '2025-08-07', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Club at Indian Creek', 'course_key': '801', 'event_id': 123, 'event_name': 'Pinnacle Bank Championship presented by Woodhouse', 'latitude': 41.295, 'location': 'Elkhorn, NE', 'longitude': -96.23, 'start_date': '2025-08-07', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Bolingbrook Golf Club', 'course_key': '25', 'event_id': '50', 'event_name': 'Chicago', 'latitude': 41.666, 'location': 'Bolingbrook, IL', 'longitude': -88.149, 'start_date': '2025-08-08', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Caves Valley Golf Club', 'course_key': '882', 'event_id': 28, 'event_name': 'BMW Championship', 'latitude': 39.452, 'location': 'Owings Mills, MD', 'longitude': -76.744, 'start_date': '2025-08-14', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Hillcrest Country Club', 'course_key': '027', 'event_id': 27, 'event_name': 'Albertsons Boise Open presented by Chevron', 'latitude': 43.586, 'location': 'Boise, ID', 'longitude': -116.24, 'start_date': '2025-08-14', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Furesø Golf Klub', 'course_key': 'furesø golf klub', 'event_id': 'TBD', 'event_name': 'Danish Golf Championship', 'latitude': 55.832, 'location': 'Birkerød, Denmark', 'longitude': 12.412, 'start_date': '2025-08-14', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
