last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 19870, 'driving_acc': 0.016, 'driving_dist': -4.526, 'player_name': 'McCarthy, Denny', 'sg_app': 0.121, 'sg_arg': 0.197, 'sg_ott': -0.159, 'sg_putt': 0.605, 'sg_total': 0.764}"
2025-06-09 16:00:33 UTC,"{'dg_id': 9771, 'driving_acc': -0.007, 'driving_dist': 0.896, 'player_name': 'Day, Jason', 'sg_app': 0.123, 'sg_arg': 0.249, 'sg_ott': 0.046, 'sg_putt': 0.343, 'sg_total': 0.761}"
2025-06-09 16:00:33 UTC,"{'dg_id': 28984, 'driving_acc': -0.049, 'driving_dist': 15.528, 'player_name': 'Puig, David', 'sg_app': -0.002, 'sg_arg': -0.122, 'sg_ott': 0.551, 'sg_putt': 0.321, 'sg_total': 0.748}"
2025-06-09 16:00:33 UTC,"{'dg_id': 11889, 'driving_acc': -0.039, 'driving_dist': 6.971, 'player_name': 'Fox, Ryan', 'sg_app': 0.431, 'sg_arg': 0.068, 'sg_ott': 0.2, 'sg_putt': 0.045, 'sg_total': 0.744}"
2025-06-09 16:00:33 UTC,"{'dg_id': 13126, 'driving_acc': 0.052, 'driving_dist': -7.254, 'player_name': 'Taylor, Nick', 'sg_app': 0.443, 'sg_arg': 0.142, 'sg_ott': 0.047, 'sg_putt': 0.11, 'sg_total': 0.741}"
2025-06-09 16:00:33 UTC,"{'dg_id': 6430, 'driving_acc': -0.016, 'driving_dist': 7.237, 'player_name': 'Scott, Adam', 'sg_app': 0.164, 'sg_arg': 0.181, 'sg_ott': 0.321, 'sg_putt': 0.059, 'sg_total': 0.725}"
2025-06-09 16:00:33 UTC,"{'dg_id': 10419, 'driving_acc': 0.022, 'driving_dist': -4.749, 'player_name': 'Noren, Alex', 'sg_app': 0.324, 'sg_arg': 0.225, 'sg_ott': 0.021, 'sg_putt': 0.142, 'sg_total': 0.713}"
2025-06-09 16:00:33 UTC,"{'dg_id': 13412, 'driving_acc': 0.015, 'driving_dist': 2.709, 'player_name': 'Olesen, Thorbjorn', 'sg_app': 0.225, 'sg_arg': 0.089, 'sg_ott': 0.193, 'sg_putt': 0.204, 'sg_total': 0.711}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14838, 'driving_acc': 0.002, 'driving_dist': -4.795, 'player_name': 'Reed, Patrick', 'sg_app': 0.335, 'sg_arg': 0.307, 'sg_ott': -0.187, 'sg_putt': 0.247, 'sg_total': 0.702}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23841, 'driving_acc': 0.023, 'driving_dist': 4.341, 'player_name': 'Neergaard-Petersen, Rasmus', 'sg_app': 0.346, 'sg_arg': 0.007, 'sg_ott': 0.425, 'sg_putt': -0.079, 'sg_total': 0.699}"
